game_title,steam_price,ps_price,xbox_price,ps_vs_steam_gap_pct,xbox_vs_steam_gap_pct
crimson keep,0.99,19.99,19.99,1919.19,1919.19
'n verlore verstand,0.82,14.99,14.99,1728.05,1728.05
pretty girls panic!,1.54,23.93,,1453.9,
falling blocks,0.89,11.54,,1196.63,
musynx,2.79,29.99,,974.91,
football game,3.31,35.52,4.99,973.11,50.76
earth's dawn,3.21,29.99,29.99,834.27,834.27
sokolab,1.61,14.34,4.99,790.68,209.94
ubermosh:omega,0.59,4.99,,745.76,
zombie town,0.97,7.99,,723.71,
zombo buster rising,1.9,15.52,4.99,716.84,162.63
super box delivery: beyond the horizon,4.01,32.7,4.99,715.46,24.44
fun with the fitzgeralds,0.87,6.99,,703.45,
save the ninja clan,0.99,7.78,2.99,685.86,202.02
delicious! pretty girls mahjong solitaire,0.79,5.99,,658.23,
runner,2.1,14.99,,613.81,
ultimate racing 2d,1.4,9.99,4.99,613.57,256.43
ninja run,0.99,6.99,,606.06,
firefighters - the simulation,4.5,29.99,,566.44,
joe's diner,3.01,19.99,,564.12,
"i, zombie",1.26,8.0,3.99,534.92,216.67
dungeons & bombs,0.79,4.99,4.99,531.65,531.65
virtuous western,1.57,9.78,4.99,522.93,217.83
koi,0.83,4.99,,501.2,
another sight,4.99,29.99,29.99,501.0,501.0
tokyo twilight ghost hunters daybreak: special gigs,7.49,44.99,,500.67,
sokowinter,0.84,4.99,4.99,494.05,494.05
pixel cafe,9.8,57.99,12.99,491.73,32.55
wizodd,3.88,22.43,4.99,478.09,28.61
it's kooky,2.52,14.49,9.99,475.0,296.43
viking days,0.87,4.99,,473.56,
cybxus heart,0.87,4.99,,473.56,
ball lab,0.87,4.99,4.99,473.56,473.56
monster battle,4.45,25.51,,473.26,
gemini: heroes reborn,2.62,14.99,14.99,472.14,472.14
blue-collar astronaut,1.71,9.78,9.99,471.93,484.21
it came from space and ate our brains,8.68,48.5,14.99,458.76,72.7
mountain crime: requital,2.69,14.99,,457.25,
professional construction - the simulation,4.5,24.99,,455.33,
mountain rescue simulator,5.42,29.99,,453.32,
holy potatoes! what the hell?!,2.72,14.99,,451.1,
classic racers elite,6.04,32.99,,446.19,
payday 2,7.36,39.99,,443.34,
crazy gravity,0.92,4.99,4.99,442.39,442.39
christmas race,1.3,6.99,,437.69,
alveole,0.93,4.99,4.22,436.56,353.76
pineview drive,5.62,29.99,,433.63,
edge of reality,0.79,4.2,4.99,431.65,531.65
tomb raider: legend,3.78,19.99,19.99,428.84,428.84
10 seconds to win!,0.87,4.54,4.99,421.84,473.56
hatup,1.6,8.3,4.99,418.75,211.88
raid: world war ii,7.72,39.99,39.99,418.01,418.01
realms of arkania: blade of destiny,5.9,29.99,29.99,408.31,408.31
gunstar heroes,0.99,4.99,4.99,404.04,404.04
toejam & earl in panic on funkotron,0.99,4.99,,404.04,
wonder boy in monster world,0.99,4.99,,404.04,
toejam & earl,0.99,4.99,,404.04,
streets of rage 2,0.99,4.99,24.99,404.04,2424.24
the revenge of shinobi,0.99,4.99,,404.04,
red death,0.99,4.99,4.99,404.04,404.04
underland,1.59,7.99,7.99,402.52,402.52
wanderjahr,1.99,9.99,,402.01,
wwe 2k16,5.99,29.99,,400.67,
placid plastic duck simulator,1.83,8.99,8.99,391.26,391.26
kalinur,1.27,5.99,5.99,371.65,371.65
bunny park,4.43,19.99,14.99,351.24,238.37
throw anything,15.1,67.82,,349.14,
ikkarus and the prince of sin,8.32,37.18,9.99,346.88,20.07
professional farmer: american dream,5.62,24.99,19.99,344.66,255.69
professional farmer 2017,4.5,19.99,19.99,344.22,344.22
reky,3.16,13.99,9.99,342.72,216.14
rounds,4.32,19.03,8.49,340.51,96.53
pipe connect,0.8,3.49,,336.25,
zack zero,2.99,12.99,,334.45,
heavy fire: afghanistan,2.33,9.99,,328.76,
chess brain: dark troops,0.95,3.99,3.99,320.0,320.0
sword art online: lost song,14.32,59.99,,318.92,
aircraft evolution,2.39,9.99,9.99,317.99,317.99
outbreak: the nightmare chronicles,3.39,13.99,12.99,312.68,283.19
a building full of cats,1.74,7.15,2.99,310.92,71.84
star99,2.44,9.99,9.99,309.43,309.43
air hockey,2.47,9.99,,304.45,
virtugo,0.99,3.99,,303.03,
dadish,2.48,9.99,9.99,302.82,302.82
cubic figures,3.4,13.63,,300.88,
let's sing 2016,9.99,39.99,,300.3,
sneaky rat,1.51,5.99,5.99,296.69,296.69
metagal,2.99,11.86,4.99,296.66,66.89
stellatum,2.52,9.99,9.99,296.43,296.43
crossbow: bloodnight,2.08,8.23,4.99,295.67,139.9
bottle: pilgrim redux,2.79,10.99,11.99,293.91,329.75
emme saves the galaxy,2.54,9.99,,293.31,
sokopenguin,1.27,4.99,4.99,292.91,292.91
whisper trip,3.19,12.49,3.08,291.54,-3.45
knowledge keeper,3.72,14.56,4.99,291.4,34.14
the pizza delivery boy who saved the world,4.96,19.14,5.99,285.89,20.77
drift streets japan,2.59,9.99,,285.71,
adam wolfe,5.2,19.99,,284.42,
shoppe keep,3.38,12.99,12.99,284.32,284.32
archery blast,1.3,4.99,,283.85,
skytime,0.78,2.99,,283.33,
nascar heat 3,5.28,19.99,,278.6,
explosive jake,0.79,2.99,4.99,278.48,531.65
from shadows,1.32,4.99,,278.03,
sniper elite v2 remastered,9.26,34.99,34.99,277.86,277.86
watchmen: the end is nigh part 2,4.03,14.99,,271.96,
space break,1.88,6.99,,271.81,
little mouse's encyclopedia,4.99,18.49,12.99,270.54,160.32
simulacra,3.51,12.99,11.99,270.09,241.6
state of anarchy: master of mayhem,2.16,7.99,7.99,269.91,269.91
gastro force,6.07,22.36,6.99,268.37,15.16
tp bullet,4.61,16.97,4.99,268.11,8.24
industry giant 2,6.82,24.99,39.99,266.42,486.36
suika watermelon fruits,2.77,9.99,,260.65,
three fourths home: extended edition,4.01,14.43,9.99,259.85,149.13
shadows of kurgansk,5.03,17.99,17.99,257.65,257.65
forestry 2017 - the simulation,5.62,19.99,,255.69,
panda run,1.55,5.49,,254.19,
zumba garden,1.98,6.99,,253.03,
the five covens,3.68,12.99,,252.99,
necrosmith,2.27,7.99,,251.98,
pandaty,1.99,6.99,4.99,251.26,150.75
music racer,1.99,6.99,6.99,251.26,251.26
party bingo,1.99,6.99,,251.26,
forrace gt2d,3.99,13.99,,250.63,
call of juarez: bound in blood,5.72,19.99,,249.48,
sable's grimoire: man and elf,5.62,19.39,,245.02,
poly match,2.03,6.99,,244.33,
boss rush: mythology,2.91,9.99,9.99,243.3,243.3
realms of arkania: star trail,8.74,29.99,29.99,243.14,243.14
awesome pea 3,3.97,13.62,4.99,243.07,25.69
buff knight advanced,2.36,7.99,,238.56,
the bellows,1.49,4.99,,234.9,
kitten hero,1.49,4.99,4.99,234.9,234.9
ord.,1.49,4.99,4.99,234.9,234.9
cions of vega,2.09,6.99,6.99,234.45,234.45
jet car stunts,2.4,7.99,,232.92,
heavy fire: shattered spear,3.05,9.99,,227.54,
stardust vanguards,3.06,9.99,,226.47,
conquistadorio,6.19,19.99,,222.94,
nephise: ascension,3.41,10.99,11.99,222.29,251.61
sissa's path,1.55,4.99,4.99,221.94,221.94
handball 17,7.79,24.99,9.99,220.8,28.24
mars: war logs,3.12,9.99,,220.19,
tricks magician,1.57,4.99,4.99,217.83,217.83
runbean galactic,1.57,4.99,4.99,217.83,217.83
pocket witch,1.57,4.99,4.99,217.83,217.83
the psychoduck,1.57,4.99,4.99,217.83,217.83
tomb raider: underworld,4.72,14.99,19.99,217.58,323.52
kinduo,1.59,4.99,4.99,213.84,213.84
preventive strike,1.59,4.99,,213.84,
swapshot,1.59,4.99,5.99,213.84,276.73
syberia 3,9.57,29.99,19.99,213.38,108.88
"i, ai",3.19,9.99,9.99,213.17,213.17
divide,7.99,24.99,,212.77,
billy's game show,3.21,9.99,,211.21,
alice: madness returns,6.46,19.99,19.99,209.44,209.44
garden simulator,8.74,26.99,26.99,208.81,208.81
bleed,4.21,12.99,12.99,208.55,208.55
sokolor,1.63,4.99,4.99,206.13,206.13
skatemasta tcheco,1.64,4.99,4.99,204.27,204.27
amaze,1.64,4.99,,204.27,
reverse crawl,4.29,12.99,12.99,202.8,202.8
apocalypse rider,1.65,4.99,,202.42,
kursk,6.61,19.99,19.99,202.42,202.42
dadish 2,3.31,9.99,9.99,201.81,201.81
draw slasher,1.99,5.99,,201.01,
earthnight,4.99,14.99,,200.4,
honor and duty: d-day,4.99,14.99,,200.4,
terra bomber,3.37,9.99,,196.44,
purpose 1951,2.37,6.99,6.99,194.94,194.94
cattie,1.7,4.99,4.99,193.53,193.53
headbangers: rhythm royale,6.82,19.99,4.99,193.11,-26.83
this is the police 2,10.24,29.99,29.99,192.87,192.87
lunch a palooza,9.58,27.99,19.99,192.17,108.66
taqoban,4.06,11.81,4.99,190.89,22.91
holy potatoes! a weapon shop?!,5.19,14.99,,188.82,
sokofrog,1.73,4.99,4.99,188.44,188.44
sugar tanks,4.16,11.99,1.31,188.22,-68.51
frido,2.21,6.36,,187.78,
mini ninjas,6.97,19.99,19.99,186.8,186.8
galactic lords,0.87,2.49,,186.21,
mxgp - the official motocross videogame,6.99,19.99,,185.98,
monster jam steel titans,13.99,39.99,39.99,185.85,185.85
glass masquerade 2: illusions,4.2,11.99,,185.48,
glass masquerade,4.2,11.99,11.99,185.48,185.48
storyblocks: the king,1.75,4.99,4.99,185.14,185.14
my universe - doctors & nurses,10.53,29.99,,184.81,
my universe - cooking star restaurant,10.53,29.99,,184.81,
my universe - school teacher,10.53,29.99,29.99,184.81,184.81
robozarro,4.07,11.49,6.99,182.31,71.74
exploria,4.99,13.99,,180.36,
fluffy milo,1.78,4.99,4.99,180.34,180.34
dog duty,3.57,9.99,9.99,179.83,179.83
greed 2: forbidden experiments,6.27,17.49,1.8,178.95,-71.29
toby: the secret mine,5.39,14.99,9.99,178.11,85.34
protocol,7.55,20.99,20.99,178.01,178.01
georifters,10.79,29.99,9.99,177.94,-7.41
hack and shoot heroes,1.57,4.34,,176.43,
double pug switch,1.99,5.49,4.79,175.88,140.7
o.w.l projekt,1.81,4.99,4.99,175.69,175.69
deus ex: human revolution - director's cut,10.92,29.99,,174.63,
rocketbirds: hardboiled chicken,4.37,11.99,,174.37,
greed 3: old enemies returning,6.38,17.49,19.99,174.14,213.32
tamashii,4.38,11.99,11.99,173.74,173.74
alien,3.66,9.99,,172.95,
injustice: gods among us ultimate edition,14.66,39.99,,172.78,
mastho is together,1.83,4.99,4.99,172.68,172.68
wrc 4 fia world rally championship,9.19,24.99,,171.93,
ww2: bunker simulator,9.19,24.99,17.49,171.93,90.32
airport simulator 2019,11.1,29.99,29.99,170.18,170.18
red faction,5.55,14.99,,170.09,
brave soldier - invasion of cyborgs,1.85,4.99,2.49,169.73,34.59
bridge constructor portal,5.59,14.99,14.99,168.16,168.16
ice cream surfer,2.99,7.99,7.99,167.22,167.22
hexologic,3.74,9.99,9.99,167.11,167.11
let's sing 2019,14.99,39.99,,166.78,
super geisha neon,5.46,14.56,4.99,166.67,-8.61
cat slide tiles,1.5,3.99,3.99,166.0,166.0
resident evil revelations 2,11.28,29.99,29.99,165.87,165.87
geojelly,4.06,10.74,,164.53,
quick race,1.7,4.49,,164.12,
earthshine,1.89,4.99,,164.02,
lovechoice,1.89,4.99,4.99,164.02,164.02
house,5.68,14.99,14.99,163.91,163.91
super crazy rhythm castle,15.21,39.99,19.99,162.92,31.43
hitman: contracts,6.47,16.99,,162.6,
hitman 2: silent assassin,6.47,16.99,,162.6,
heroine anthem zero 2 : scalescars oath,15.32,39.99,27.99,161.03,82.7
hell's high harmonizers,4.99,12.99,,160.32,
supfly delivery simulator,3.28,8.49,,158.84,
doctor who: the lonely assassins,5.02,12.99,12.99,158.76,158.76
yum yum cookstar,5.82,14.99,0.99,157.56,-82.99
jewel match twilight solitaire,5.82,14.99,,157.56,
haimrik,7.79,19.99,19.99,156.61,156.61
dracula's legacy,2.62,6.69,,155.34,
it's spring again,0.78,1.99,,155.13,
tcheco in the castle of lucio,0.78,1.99,4.99,155.13,539.74
slime's journey,1.96,4.99,4.99,154.59,154.59
horror tales: the wine,7.77,19.78,14.99,154.57,92.92
"slice, dice & rice",7.13,17.99,,152.31,
plantera,1.98,4.99,,152.02,
slam bolt scrappers,3.97,9.99,,151.64,
jewel match solitaire,5.96,14.99,,151.51,
creepy tale,3.98,9.99,9.99,151.01,151.01
bishoujo battle cyber panic!,2.39,5.99,,150.63,
bishoujo battle mahjong solitaire,2.39,5.99,,150.63,
drizzlepath: deja vu,2.79,6.99,6.99,150.54,150.54
lucid cycle,2.79,6.99,6.99,150.54,150.54
finding the soul orb,2.79,6.99,6.99,150.54,150.54
alien breed: impact,3.99,9.99,,150.38,
hoard,3.99,9.99,,150.38,
run dorothy run,7.99,19.99,,150.19,
fatal twelve,15.99,39.99,,150.09,
cannibal abduction,4.8,11.99,11.99,149.79,149.79
clown art,2.4,5.99,,149.58,
the longest five minutes,16.08,39.99,,148.69,
birthdays the beginning,16.08,39.99,,148.69,
lumberjack's dynasty,12.06,29.99,29.99,148.67,148.67
farmer's dynasty,12.06,29.99,29.99,148.67,148.67
contraptions collection,10.12,24.99,,146.94,
martian panic,10.12,24.99,,146.94,
my life: pet vet,12.19,29.99,19.99,146.02,63.99
my life: riding stables 3,12.19,29.99,,146.02,
cube decider,3.18,7.82,,145.91,
grab the bottle,2.03,4.99,4.99,145.81,145.81
fire pro wrestling world,20.35,49.99,,145.65,
guilty gear xrd -sign-,20.39,49.99,,145.17,
s.t.a.l.k.e.r.: clear sky,8.16,19.99,19.99,144.98,144.98
quantum conundrum,6.14,14.99,9.99,144.14,62.7
final assault,9.99,24.35,,143.74,
desolatium,12.31,29.99,29.99,143.62,143.62
l.a. noire,14.39,34.99,39.99,143.15,177.9
blaster master zero,7.55,18.29,9.99,142.25,32.32
stab stab stab!,4.13,9.99,9.99,141.89,141.89
luxor evolved,8.28,19.99,19.99,141.43,141.43
lara croft and the guardian of light,6.21,14.99,,141.38,
busway islands - puzzle,2.07,4.99,4.99,141.06,141.06
immortus temporus,2.07,4.99,4.99,141.06,141.06
alien breed 3: descent,4.15,9.99,,140.72,
alien breed 2: assault,4.15,9.99,,140.72,
chameneon,1.66,3.99,3.99,140.36,140.36
karma. incarnation 1,4.99,11.99,11.99,140.28,140.28
dragon quest builders,25.0,59.99,,139.96,
crimen - mercenary tales,11.92,28.49,,139.01,
vvvvvv,4.18,9.99,,139.0,
lovely planet,4.18,9.99,9.99,139.0,139.0
nascar heat 5,8.37,19.99,,138.83,
"spy fox in ""dry cereal""",6.31,14.99,,137.56,
freddi fish and the case of the missing kelp seeds,6.31,14.99,,137.56,
pajama sam 2: thunder and lightning aren't so frightening,6.31,14.99,,137.56,
freddi fish 3: the case of the stolen conch shell,6.31,14.99,,137.56,
freddi fish 4: the case of the hogfish rustlers of briny gulch,6.31,14.99,,137.56,
pajama sam 3: you are what you eat from your head to your feet,6.31,14.99,,137.56,
freddi fish 2: the case of the haunted schoolhouse,6.31,14.99,,137.56,
pajama sam: no need to hide when it's dark outside,6.31,14.99,,137.56,
run tekila run!,4.63,10.99,11.99,137.37,158.96
undertale,6.32,14.99,14.99,137.18,137.18
hitman: blood money,7.19,16.99,19.99,136.3,178.03
heart&slash,8.46,19.99,19.99,136.29,136.29
lanternium,5.17,12.14,4.99,134.82,-3.48
lead and gold: gangs of the wild west,6.39,14.99,,134.59,
shipwreck escape,6.39,14.99,6.99,134.59,9.39
overpass,12.79,29.99,29.99,134.48,134.48
alpha warrior,2.99,6.99,,133.78,
the long dark,14.97,34.99,,133.73,
x-force under attack,4.28,9.99,8.09,133.41,89.02
space run,3.01,6.99,,132.23,
the raven remastered,12.93,29.99,29.99,131.94,131.94
besiege,8.62,19.99,,131.9,
collab ball,2.16,4.99,,131.02,
coastline flight simulator,12.99,29.99,,130.87,
limbo,4.34,9.99,9.99,130.18,130.18
winter games 2023,9.79,22.49,29.99,129.72,206.33
dating life: miley x emily,4.35,9.99,,129.66,
mystery box: hidden secrets,4.35,9.99,6.99,129.66,60.69
taco tom 2,3.65,8.34,5.99,128.49,64.11
"tactics v: ""obsidian brigade""",8.75,19.99,19.99,128.46,128.46
anime girls: sun of a beach,3.5,7.99,,128.29,
vessel,4.38,9.99,,128.08,
underdungeon,4.38,9.99,13.99,128.08,219.41
fables mosaic: rapunzel,4.38,9.99,,128.08,
fables mosaic: cinderella,4.38,9.99,,128.08,
space revenge,4.82,10.99,,128.01,
knot,1.75,3.99,,128.0,
monster slayers,6.58,14.99,14.99,127.81,127.81
cosmos bit,3.56,8.1,4.99,127.53,40.17
rain city,3.3,7.49,5.99,126.97,81.52
midnight is lost,1.76,3.99,3.99,126.7,126.7
skelly selest,4.41,9.99,9.99,126.53,126.53
mystery chronicle: one way heroics,6.63,14.99,,126.09,
stick fight: the game,3.32,7.49,7.49,125.6,125.6
harvest life,12.19,27.49,29.99,125.51,146.02
deathtrap dungeon: the interactive video adventure,7.99,17.99,,125.16,
neon abyss,12.66,28.49,19.99,125.04,57.9
yurukill: the calumniation games,17.77,39.99,,125.04,
just ignore them,2.22,4.99,4.99,124.77,124.77
gloom and doom,17.81,39.99,39.99,124.54,124.54
bright lights of svetlov,4.45,9.99,9.99,124.49,124.49
shapeneon chaos,1.72,3.86,4.99,124.42,190.12
mini motor racing x,11.14,24.99,,124.33,
away: the survival series,13.41,29.99,,123.64,
deleveled,6.61,14.78,9.99,123.6,51.13
7 days of rose,4.38,9.78,4.99,123.29,13.93
sherlock holmes: the devil's daughter,17.99,39.99,39.99,122.29,122.29
sherlock holmes: crimes and punishments,17.99,39.99,39.99,122.29,122.29
alchemist simulator,9.9,21.99,12.49,122.12,26.16
splice,6.76,14.99,,121.75,
polybius,6.99,15.49,,121.6,
venatrix,6.78,14.99,,121.09,
mahjong gold,2.71,5.99,,121.03,
metal slug 3,6.79,14.99,9.99,120.77,47.13
blue rider,4.53,9.99,9.99,120.53,120.53
her majesty's spiffing,8.39,18.49,11.99,120.38,42.91
post void,2.72,5.99,,120.22,
creepy tale 2,6.81,14.99,14.99,120.12,120.12
neverout,3.65,7.99,4.29,118.9,17.53
doughlings: arcade,3.2,6.99,6.99,118.44,118.44
nature escapes,10.34,22.56,,118.18,
duck run,1.6,3.49,4.99,118.12,211.88
yet another zombie defense hd,2.29,4.99,4.99,117.9,117.9
downwell,2.29,4.99,2.99,117.9,30.57
blood hunting,13.31,28.99,,117.81,
quest of dungeons,4.13,8.99,8.99,117.68,117.68
pure farming 2018,10.39,22.59,29.99,117.42,188.64
harvest moon: light of hope special edition,18.43,39.99,,116.98,
terminal 81,4.62,9.99,9.99,116.23,116.23
tardy,4.63,9.99,9.99,115.77,115.77
honeyland,1.62,3.49,4.99,115.43,208.02
sos ops!,4.64,9.99,,115.3,
slaycation paradise,9.29,19.99,19.99,115.18,115.18
worms rumble,6.97,14.99,14.99,115.06,115.06
sleeping dogs: definitive edition,13.95,29.99,,114.98,
rick henderson,3.72,7.99,7.99,114.78,114.78
cyber protocol,6.98,14.99,12.99,114.76,86.1
distraint: deluxe edition,2.79,5.99,5.99,114.7,114.7
way of redemption,6.99,14.99,,114.45,
laserpitium,7.0,14.99,14.99,114.14,114.14
townsmen - a kingdom rebuilt,14.03,29.99,29.99,113.76,113.76
werewolf: the apocalypse - earthblood,23.39,49.99,23.13,113.72,-1.11
happy words,4.68,9.99,9.99,113.46,113.46
balloon strike,2.34,4.99,,113.25,
gunborg: dark matters,7.03,14.99,14.99,113.23,113.23
paper beast,10.55,22.49,,113.18,
webbed,9.38,19.99,19.99,113.11,113.11
math fun,3.76,7.99,,112.5,
shadow of loot box,3.76,7.99,7.99,112.5,112.5
rayland,2.35,4.99,6.9,112.34,193.62
rayland 2,2.35,4.99,,112.34,
warhammer: end times - vermintide,18.89,39.99,39.99,111.7,111.7
explodemon,4.72,9.99,,111.65,
burst hero,2.36,4.99,9.99,111.44,323.31
dark quest 2,7.09,14.99,14.99,111.42,111.42
wings of bluestar,7.1,14.99,14.99,111.13,111.13
pato box,7.1,14.99,14.99,111.13,111.13
dungeon village,6.65,13.99,11.99,110.38,80.3
the darkness ii,19.01,39.99,29.99,110.36,57.76
mahjong royal towers,2.85,5.99,,110.18,
hot springs story,6.67,13.99,11.99,109.75,79.76
tempus,4.63,9.71,,109.72,
immortals fenyx rising,28.61,59.99,39.99,109.68,39.78
super jagger bomb,2.38,4.99,,109.66,
this is the zodiac speaking,6.2,12.99,12.99,109.52,109.52
lakeview cabin collection,8.59,17.99,17.99,109.43,109.43
miracle snack shop,9.55,19.99,19.99,109.32,109.32
pets at work,2.39,4.99,4.11,108.79,71.97
kinduo 2 - frostbite,2.39,4.99,4.99,108.79,108.79
the procession to calvary,7.18,14.99,14.99,108.77,108.77
stacking,7.18,14.99,14.99,108.77,108.77
escape game fort boyard,7.19,14.99,9.99,108.48,38.94
ride,14.39,29.99,19.99,108.41,38.92
warhammer quest 2: the end times,14.39,29.99,29.99,108.41,108.41
find love or die trying,4.99,10.39,12.99,108.22,160.32
disaster band,4.8,9.99,9.99,108.13,108.13
the ramen sensei,6.73,13.99,11.99,107.88,78.16
neverend,1.44,2.99,,107.64,
north,1.44,2.99,4.99,107.64,246.53
game dev story,6.74,13.99,11.99,107.57,77.89
think of the children,6.26,12.99,12.99,107.51,107.51
project warlock,7.24,14.99,4.49,107.04,-37.98
shiny ski resort,6.76,13.99,11.99,106.95,77.37
iron wings,9.68,19.99,16.99,106.51,75.52
element space,12.12,24.99,24.99,106.19,106.19
monster sanctuary,9.71,19.99,19.99,105.87,105.87
steamworld dig 2,9.75,19.99,19.99,105.03,105.03
my life: farm vet,12.19,24.99,,105.0,
vr ping pong,7.32,14.99,,104.78,
worms ultimate mayhem,7.32,14.99,,104.78,
somerville,12.21,24.99,27.49,104.67,125.14
toybox puzzle,1.95,3.99,,104.62,
love island,2.44,4.99,,104.51,
super chicken jumper,2.44,4.99,4.99,104.51,104.51
planet rix-13,2.37,4.82,4.99,103.38,110.55
tony stewart's all-american racing,9.83,19.99,19.99,103.36,103.36
mining mechs,2.46,4.99,4.99,102.85,102.85
slap the rocks,1.55,3.14,4.99,102.58,221.94
electronics puzzle lab,2.47,4.99,4.99,102.02,102.02
steamworld heist,7.43,14.99,,101.75,
unspottable,8.43,16.99,11.99,101.54,42.23
circuit breakers,4.96,9.99,9.99,101.41,101.41
party friends,3.97,7.99,7.99,101.26,101.26
legend of kay anniversary,13.66,27.49,,101.24,
clutter evolution: beyond xtreme,5.96,11.99,,101.17,
midnight remastered,0.99,1.99,1.99,101.01,101.01
a street cat's tale,3.99,7.99,,100.25,
pictoquest,3.99,7.99,7.99,100.25,100.25
vaporum,12.48,24.99,24.99,100.24,100.24
don't let him in,4.99,9.99,9.99,100.2,100.2
zomb,4.99,9.99,,100.2,
polyturbo drift racing simulator,4.99,9.99,,100.2,
ink,4.99,9.99,9.99,100.2,100.2
neko journey,4.99,9.99,,100.2,
pain,4.99,9.99,,100.2,
sturmfront - the mutant war: übel edition,4.99,9.99,,100.2,
soft body,4.99,9.99,,100.2,
whateverland,7.49,14.99,14.99,100.13,100.13
anomaly 2,7.49,14.99,,100.13,
relicta,9.99,19.99,1.99,100.1,-80.08
farm for your life,9.99,19.99,19.99,100.1,100.1
petoons party,9.99,19.99,19.99,100.1,100.1
flynn and freckles,9.99,19.99,,100.1,
bladed fury,9.99,19.99,7.93,100.1,-20.62
blast zone! tournament,9.99,19.99,,100.1,
the beast inside,12.49,24.99,,100.08,
boundless,19.99,39.99,,100.05,
yaiba: ninja gaiden z,29.99,59.99,,100.03,
quest hunter,15.01,29.99,29.99,99.8,99.8
robonauts,2.5,4.99,,99.6,
the awakening of mummies,1.5,2.99,2.99,99.33,99.33
redeemer: enhanced edition,7.53,14.99,,99.07,
pix the cat,3.01,5.99,9.99,99.0,231.89
frightence,3.01,5.99,6.26,99.0,107.97
8-ball pocket,5.02,9.99,5.99,99.0,19.32
just cause 2,10.05,19.99,14.99,98.91,49.15
blade kitten,2.51,4.99,,98.8,
oh! edo towns,7.04,13.99,11.99,98.72,70.31
unheard - voices of crime,5.03,9.99,,98.61,
wall world,5.03,9.99,9.99,98.61,98.61
my night job,3.52,6.99,,98.58,
builder simulator,12.61,24.99,24.99,98.18,98.18
break arts ii,10.09,19.99,,98.12,
g.i. joe: operation blackout,25.26,49.99,,97.9,
clutter 1000,6.06,11.99,,97.85,
winter games challenge,12.66,24.99,,97.39,
hood story: kaito yamazaki,10.14,19.99,,97.14,
arietta of spirits,10.16,19.99,19.99,96.75,96.75
plox neon,4.07,7.99,,96.31,
binary domain,10.19,19.99,4.22,96.17,-58.59
time on frog island,12.75,24.99,24.99,96.0,96.0
nidhogg,7.65,14.99,,95.95,
seed of life,20.41,39.99,39.99,95.93,95.93
kind heart defenders,3.19,6.25,,95.92,
isonzo,15.31,29.99,29.99,95.89,95.89
geometry survivor,4.08,7.99,9.99,95.83,144.85
cubikolor,4.08,7.99,7.99,95.83,95.83
dogfight,8.16,15.98,,95.83,
super wiloo demake,2.55,4.99,4.99,95.69,95.69
aeternoblade,7.66,14.99,14.99,95.69,95.69
this is the police,10.24,19.99,19.99,95.21,95.21
trailblazers,15.42,29.99,29.99,94.49,94.49
ginga force,10.28,19.99,,94.46,
paw paw paw,5.14,9.99,9.99,94.36,94.36
the survivalists,13.13,25.49,24.99,94.14,90.33
aerea,5.16,9.99,9.99,93.6,93.6
alien shooter,4.13,7.99,,93.46,
chicken assassin: reloaded,4.13,7.99,,93.46,
the escapists: the walking dead,10.35,19.99,19.99,93.14,93.14
the traveler's path,2.59,4.99,4.99,92.66,92.66
assault suit leynos,10.38,19.99,,92.58,
flipping death,10.38,19.99,19.99,92.58,92.58
the great perhaps,5.19,9.99,9.99,92.49,92.49
ashina: the red witch,5.19,9.99,9.99,92.49,92.49
terror mansion,7.79,14.99,,92.43,
homefront,10.39,19.99,,92.4,
summertime madness,7.8,14.99,14.99,92.18,92.18
post war dreams,6.78,12.99,12.99,91.59,91.59
self-delusion,7.83,14.99,14.99,91.44,91.44
street outlaws 2: winner takes all,31.38,59.99,49.99,91.17,59.31
elex,20.92,39.99,39.99,91.16,91.16
hitchhiker - a mystery game,10.46,19.99,19.99,91.11,91.11
wintermoor tactics club,10.46,19.99,19.99,91.11,91.11
dungeon arsenal,3.66,6.99,6.99,90.98,90.98
echo,13.1,24.99,,90.76,
brut@l,7.86,14.99,,90.71,
devious dungeon,4.19,7.99,7.99,90.69,90.69
monster jam steel titans 2,20.99,39.99,39.99,90.52,90.52
tamiku,2.62,4.99,4.99,90.46,90.46
roll the cat,2.62,4.99,4.99,90.46,90.46
castle of pixel skulls,2.62,4.99,,90.46,
zeroptian invasion,2.62,4.99,4.99,90.46,90.46
strike solitaire 2,2.62,4.99,,90.46,
ravva and the cyclops curse,2.62,4.99,4.99,90.46,90.46
euro fishing,10.52,19.99,,90.02,
boom blaster,3.68,6.99,4.99,89.95,35.6
universal flight simulator,5.26,9.99,,89.92,
foreclosed,10.53,19.99,19.99,89.84,89.84
settris,2.63,4.99,4.99,89.73,89.73
potato arena,7.68,14.56,,89.58,
boxed in,3.16,5.99,,89.56,
the king of fighters '97 global match,7.91,14.99,,89.51,
unknown fate,7.91,14.99,14.49,89.51,83.19
garou: mark of the wolves,7.91,14.99,7.99,89.51,1.01
the amazing american circus,7.91,14.99,14.99,89.51,89.51
help will come tomorrow,10.55,19.99,19.99,89.48,89.48
contraptions,5.28,9.99,,89.2,
party pumper,8.99,16.99,,88.99,
zombie vikings,6.35,11.99,11.99,88.82,88.82
rise of insanity,6.88,12.99,9.99,88.81,45.2
skydrift infinity,7.95,14.99,14.99,88.55,88.55
