game_title,platform,avg_price_usd,price_record_count
danjigoku,PS,0.99,2
blast frenzy,PS,0.99,2
hidden bunny,PS,0.99,2
funny truck,PS,0.99,3
bowling (story six) (jane version) - project: summer ice,PS,0.99,2
bowling (story six) (pammy version) - project: summer ice,PS,0.99,2
forgiveness rpg: the first chapter (part two),PS,0.99,2
minepull,PS,0.99,2
the forgotten tribe,PS,0.99,2
our church and halloween rpg (story one),PS,0.99,2
lent's adventure (story one) - lent: the easter bunny,PS,0.99,2
zippy the circle (level 1 and level 2),PS,0.99,2
campfire of oasis,PS,0.99,2
soccer - breakthrough gaming arcade,PS,0.99,2
baseball - breakthrough gaming arcade,PS,0.99,2
"zippy the circle (level 11, level 12, and level 13)",PS,0.99,2
deponia doomsday,PS,0.99,2
dynamite fishing world games,PS,0.99,2
learn to play vol. 3 - mice love cheese,PS,0.99,2
mousecraft,PS,0.99,2
sclash,PS,0.99,2
basketball (challenge mode edition) - breakthrough gaming arcade,PS,0.99,2
hakosan,PS,0.99,2
organic engine,PS,0.99,2
p fit,PS,0.99,2
zippy the circle calculator,PS,0.99,2
easy dice for rpg/tabletop,PS,0.99,2
road bustle 2,PS,0.99,2
"zippy the circle (level 5, level 6, and level 7)",PS,0.99,2
auditorium hd,PS,0.99,2
forgiveness rpg: the first chapter (part one),PS,0.99,2
rock paper scissors - breakthrough gaming arcade,PS,0.99,2
space 2 (2 player cooperation edition) - breakthrough gaming arcade,PS,0.99,2
mars farce,PS,0.99,2
cartoon network punch time explosion xl (eu),PS,0.99,2
hyper rider,PS,0.99,3
meteo planet,PS,0.99,2
finger fitness,PS,0.99,2
safari puzzle match,PS,0.99,2
bowling (story one) (jane version) - project: summer ice,PS,0.99,2
baseball (4 player cooperation edition) - breakthrough gaming arcade,PS,0.99,2
space - breakthrough gaming arcade,PS,0.99,2
"zippy the circle challenge (level 5c, level 6c, and level 7c)",PS,0.99,2
path of the builder,PS,0.99,3
throw m,PS,0.99,2
tower of balloons: otterrific arcade,PS,0.99,2
football 2024 journey,PS,0.99,2
zj the ball challenge (level 5c),PS,0.99,2
breezy paws,PS,0.99,2
shark adventure,PS,0.99,3
pixicharm - fruboom,PS,0.99,3
baseball (3 player cooperation edition) (challenge mode) - breakthrough gaming arcade,PS,0.99,2
oriana (story three) - my first date rpg,PS,0.99,3
welcome to erin's story in the world of our church and halloween (visual novel),PS,0.99,2
lasso catch,PS,0.99,2
medieval match master,PS,0.99,2
bowling (story five) (pammy version) - project: summer ice,PS,0.99,2
my name is mayo 2,PS,0.99,2
horse riding - breakthrough gaming arcade,PS,0.99,2
bowling (story four) (mark version) - project: summer ice,PS,0.99,3
learn to play vol. 7 - safe journey,PS,0.99,3
oriana (story two) - my first date rpg,PS,0.99,3
pixicharm - shurikoo sprint,PS,0.99,2
sled riders,PS,0.99,2
snake boat: otterrific arcade,PS,0.99,2
zj the ball challenge (level 4c),PS,0.99,2
jigsaw tetra,PS,0.99,2
pumped bmx +,PS,0.99,2
santa's speedy quest,PS,0.99,2
zippy the circle (level 3 and level 4),PS,0.99,2
nik and kit - kit's adventure,PS,0.99,2
get to the top 2 - breakthrough gaming arcade,PS,0.99,2
zj the ball (level 5),PS,0.99,2
parcel escape,PS,0.99,3
our church and halloween rpg (story five) (james version),PS,0.99,2
defeat me,PS,0.99,3
zippy the circle challenge (level 1c and level 2c),PS,0.99,2
learn to play vol. 9 - santa's sleigh ride,PS,0.99,45
reflector satellites,PS,0.99,3
the jumping ice cube,PS,0.99,3
blues of war,PS,0.99,3
twins of legacy : elemental,PS,0.99,3
racing (3 player cooperation edition) - breakthrough gaming arcade,PS,0.99,2
racing (4 player cooperation edition) - breakthrough gaming arcade,PS,0.99,2
softball - breakthrough gaming arcade,PS,0.99,2
our church and halloween rpg (story four),PS,0.99,2
deponia,PS,0.99,2
marsi's adventures,PS,0.99,2
run to infinity: impossible mode,PS,0.99,2
learn to play vol. 1 - fruit collect,PS,0.99,2
dungeon adventure,PS,0.99,2
jigsaw chronicles: heroes of legend,PS,0.99,2
the continents - breakthrough gaming activity center,PS,0.99,2
whispered flight,PS,0.99,2
christmas racing,PS,0.99,2
project: summer ice bowling online,PS,0.99,2
cubic riders,PS,0.99,2
halloween memory quest,PS,0.99,3
disco cannon airlines,PS,0.99,2
avoid them (challenge mode edition) - breakthrough gaming arcade,PS,0.99,2
my name is mayo,PS,0.99,2
pinball (challenge mode edition) - breakthrough gaming arcade,PS,0.99,2
racing (challenge mode edition) - breakthrough gaming arcade,PS,0.99,2
train sim world 3: set 1,PS,0.99,45
"zippy the circle challenge (level 8c, level 9c, and level 10c)",PS,0.99,2
zj the ball's collect stuff - breakthrough gaming activity center,PS,0.99,2
space 2 (challenge mode edition) - breakthrough gaming arcade,PS,0.99,2
perfect ninja painter 2,PS,0.99,3
run to infinity: easy mode,PS,0.99,2
our church and halloween rpg (story three),PS,0.99,2
track - breakthrough gaming arcade,PS,0.99,2
aces of the luftwaffe,PS,0.99,2
christmas journey puzzle,PS,0.99,2
heroic pirates,PS,0.99,3
easter journey,PS,0.99,2
ultratron,PS,0.99,2
zj the ball calculator,PS,0.99,2
circle triangle cross,PS,0.99,3
learn to play vol. 10 - gravity space walk,PS,0.99,2
avoid them - breakthrough gaming arcade,PS,0.99,2
racing - breakthrough gaming arcade,PS,0.99,2
learn to play vol. 4 - happy racer,PS,0.99,2
bowling (story four) (pammy version) - project: summer ice,PS,0.99,2
catch the bowling balls (challenge mode edition) - breakthrough gaming arcade,PS,0.99,2
learn to play vol. 6 - labyrinth,PS,0.99,3
run show quest,PS,0.99,2
r drive,PS,0.99,2
perfect ninja painter,PS,0.99,2
santa claus - breakthrough gaming arcade,PS,0.99,2
learn hangul!!,PS,0.99,2
nova-111,PS,0.99,2
learn hiragana!!,PS,0.99,3
worm war,PS,0.99,2
bowling (story one) (pammy version) - project: summer ice,PS,0.99,2
father's day journey,PS,0.99,2
drift race madness,PS,0.99,45
pileup,PS,0.99,3
windmill engine,PS,0.99,2
zj the ball challenge (level 3c),PS,0.99,2
the wheel,PS,0.99,2
bowling (story five) (mark version) - project: summer ice,PS,0.99,2
jane - project: summer ice pinball,PS,0.99,2
nik and kit arcade - breakthrough gaming arcade,PS,0.99,2
